Date,timeRange1,timeRange2,timeRange3,Physical,Telephone,bar associatif, Doc. Associatives, infos touristiques,docs  infos  santé,activités  Pôle Santé,Activités  Pôle Culture,Autres activités,événements hors pôles,Activités des associations,Autres
23/07/2019,,1,,14,2,2,4,,,,,1,,6,4
23/07/2019,,,1,18,2,1,1,,,,,2,,16,
24/07/2019,,1,,13,4,2,2,1,,,,4,,6,
24/07/2019,,,1,8,2,,1,4,,,2,2,,1,
25/07/2019,,1,,10,6,,,,,,,1,,15,
25/07/2019,,,1,6,2,,4,,,,1,3,,,
26/07/2019,,1,,11,,2,2,,,,,1,,6,1
26/07/2019,,,1,47,,,,,,,,,,47,
27/07/2019,1,,,30,,,,,,,,22,8,,
27/07/2019,,1,,1,,,,,,,,,,,1
27/07/2019,,,1,9,2,1,5,,,3,,1,,,
28/07/2019,,,,,,,,,,,,,,,
29/07/2019,,1,,14,5,2,8,,,,2,3,,3,
29/07/2019,,,1,25,1,2,,,2,,,22,,,
30/07/2019,,1,,13,4,,,,,,,,,17,
30/07/2019,,,1,13,1,2,3,,2,,2,1,,5,
31/07/2019,,1,,16,3,1,3,,,,,3,,12,
31/07/2019,,,1,12,1,,2,,3,,,4,,4,
01/08/2019,,1,,14,2,2,2,,,1,1,8,4,3,
01/08/2019,,,1,13,2,1,2,,3,,,5,,4,
02/08/2019,,,,,,,,,,,,,,,
02/08/2019,,,,,,,,,,,,,,,
03/08/2019,1,,,14,,4,1,2,3,1,,,,3,
03/08/2019,,1,,18,4,5,7,1,1,2,,2,,4,
03/08/2019,,,1,8,,,3,,2,,3,,,,
04/08/2019,,,,,,,,,,,,,,,
05/08/2019,,,,,,,,,,,,,,,
05/08/2019,,,,,,,,,,,,,,,
06/08/2019,,1,,13,7,,12,,,,7,,,,
06/08/2019,,,1,3,1,,1,,,,,,,3,
07/08/2019,,,,,,,,,,,,,,,
07/08/2019,,,,,,,,,,,,,,,
08/08/2019,,1,,12,14,1,,,,4,,7,,14,
08/08/2019,,,1,8,1,,5,,,,,,,2,2
09/08/2019,,,,,,,,,,,,,,,
09/08/2019,,,,,,,,,,,,,,,
10/08/2019,1,,,11,,,,,,,,,,11,
10/08/2019,,1,,17,2,6,6,,,,,2,,5,
10/08/2019,,,1,12,1,,1,,1,4,6,1,,,
11/08/2019,,,,,,,,,,,,,,,
12/08/2019,,,,,,,,,,,,,,,
12/08/2019,,,,,,,,,,,,,,,
13/08/2019,,1,,15,5,,13,2,1,,1,2,,1,
13/08/2019,,,1,11,1,1,2,1,,,,3,,5,
14/08/2019,,,,,,,,,,,,,,,
14/08/2019,,,,,,,,,,,,,,,
15/08/2019,,,,,,,,,,,,,,,
15/08/2019,,,,,,,,,,,,,,,
16/08/2019,,,,,,,,,,,,,,,
16/08/2019,,,,,,,,,,,,,,,
17/08/2019,1,,,12,1,,,,,,,3,2,8,
17/08/2019,,1,,16,2,7,3,,2,,,2,,4,
17/08/2019,,,1,11,1,1,1,,4,,3,,,3,
18/08/2019,,,,,,,,,,,,,,,
19/08/2019,,,,,,,,,,,,,,,
19/08/2019,,,,,,,,,,,,,,,
20/08/2019,,1,,8,3,,10,,,,,,,3,
20/08/2019,,,1,10,,,2,,,,7,,,1,
21/08/2019,,,,,,,,,,,,,,,
21/08/2019,,,,,,,,,,,,,,,
22/08/2019,,1,,9,5,,3,1,,,,,,8,
22/08/2019,,,1,14,3,2,2,,,,3,7,,3,
23/08/2019,,,,,,,,,,,,,,,
23/08/2019,,,,,,,,,,,,,,,
24/08/2019,1,,,7,,,5,,,,,1,,1,
24/08/2019,,1,,14,2,1,,1,2,1,2,,,8,1
24/08/2019,,,1,7,2,,1,,,1,2,,,5,
